age,weight,height,sleep,digestion,body_type,dosha
25,60,170,light,weak,thin,Vata
30,70,175,medium,strong,medium,Pitta
40,80,180,heavy,slow,heavy,Kapha
22,55,165,light,weak,thin,Vata
35,75,172,medium,strong,medium,Pitta
45,85,178,heavy,slow,heavy,Kapha
28,65,168,light,weak,thin,Vata
32,72,174,medium,strong,medium,Pitta
50,90,182,heavy,slow,heavy,Kapha
27,62,169,light,weak,thin,Vata
29,68,171,medium,strong,medium,Pitta
48,88,180,heavy,slow,heavy,Kapha
24,58,166,light,weak,thin,Vata
33,74,173,medium,strong,medium,Pitta
46,82,179,heavy,slow,heavy,Kapha
26,61,170,light,weak,thin,Vata
31,73,176,medium,strong,medium,Pitta
52,92,183,heavy,slow,heavy,Kapha
23,57,167,light,weak,thin,Vata
34,76,175,medium,strong,medium,Pitta
49,87,181,heavy,slow,heavy,Kapha
21,54,164,light,weak,thin,Vata
36,78,177,medium,strong,medium,Pitta
47,84,180,heavy,slow,heavy,Kapha
28,63,169,light,weak,thin,Vata
30,71,174,medium,strong,medium,Pitta
51,91,182,heavy,slow,heavy,Kapha
25,59,168,light,weak,thin,Vata
37,79,178,medium,strong,medium,Pitta
53,93,185,heavy,slow,heavy,Kapha